ts_milliseconds,frame_number,person_total,person_in_roi
0,0,0,0
34,1,0,0
68,2,0,0
103,3,0,0
137,4,0,0
172,5,0,0
206,6,0,0
241,7,0,0
275,8,0,0
310,9,0,0
344,10,0,0
379,11,0,0
413,12,0,0
448,13,0,0
482,14,0,0
517,15,0,0
551,16,0,0
586,17,0,0
620,18,0,0
655,19,0,0
689,20,0,0
724,21,0,0
758,22,0,0
793,23,0,0
827,24,0,0
862,25,0,0
896,26,0,0
931,27,0,0
965,28,0,0
1000,29,0,0
1034,30,0,0
1068,31,0,0
1103,32,0,0
1137,33,0,0
1172,34,0,0
1206,35,0,0
1241,36,0,0
1275,37,0,0
1310,38,0,0
1344,39,0,0
1379,40,0,0
1413,41,0,0
1448,42,0,0
1482,43,0,0
1517,44,0,0
1551,45,0,0
1586,46,0,0
1620,47,0,0
1655,48,0,0
1689,49,0,0
1724,50,0,0
1758,51,0,0
1793,52,0,0
1827,53,0,0
1862,54,0,0
1896,55,0,0
1931,56,0,0
1965,57,0,0
2000,58,0,0
2034,59,0,0
2068,60,0,0
2103,61,0,0
2137,62,0,0
2172,63,0,0
2206,64,0,0
2241,65,0,0
2275,66,0,0
2310,67,0,0
2344,68,0,0
2379,69,0,0
2413,70,0,0
2448,71,0,0
2482,72,0,0
2517,73,0,0
2551,74,0,0
2586,75,0,0
2620,76,0,0
2655,77,0,0
2689,78,0,0
2724,79,0,0
2758,80,0,0
2793,81,0,0
2827,82,0,0
2862,83,0,0
2896,84,0,0
2931,85,0,0
2965,86,0,0
3000,87,0,0
3034,88,0,0
3068,89,0,0
3103,90,0,0
3137,91,0,0
3172,92,0,0
3206,93,0,0
3241,94,0,0
3275,95,0,0
3310,96,0,0
3344,97,0,0
3379,98,0,0
3413,99,0,0
3448,100,0,0
3482,101,0,0
3517,102,0,0
3551,103,0,0
3586,104,0,0
3620,105,0,0
3655,106,0,0
3689,107,0,0
3724,108,0,0
3758,109,0,0
3793,110,0,0
3827,111,0,0
3862,112,0,0
3896,113,0,0
3931,114,0,0
3965,115,0,0
4000,116,0,0
4034,117,0,0
4068,118,0,0
4103,119,0,0
